trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",20,0,-106.39022208891784,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",20,0,-85.0237349659463,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",30,0,-173.88164015126918,"{0: 15, 1: 2, 2: 10, 3: 2, 4: 1}",0
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",30,0,-105.85459407699884,"{0: 23, 1: 1, 2: 3, 3: 1, 4: 2}",0
30,False,"{'a': 0.01, 'e': 0.955336489125606}",20,0,-93.22555096780148,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",25,0,-149.0639140143929,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",30,0,-104.69318099430843,"{0: 17, 1: 8, 2: 4, 3: 0, 4: 1}",0
33,False,"{'a': 0.01, 'e': 0.946042343528387}",25,0,-207.5377078871516,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 4}",0
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",20,0,-96.25239239589239,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",20,0,-70.3548723182572,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",20,0,-42.8988241007432,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",25,0,-125.6303956003948,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",25,0,-122.22976833620905,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",20,0,-78.36597841057875,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
40,False,"{'a': 0.01, 'e': 0.9210609940028851}",25,0,-194.02612769351222,"{0: 11, 1: 2, 2: 8, 3: 2, 4: 2}",0
41,False,"{'a': 0.01, 'e': 0.9171208228166051}",25,0,-80.74849029630921,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",20,2,-110.91501138936385,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 2}",1
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",20,0,-113.45867759514611,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
44,False,"{'a': 0.01, 'e': 0.9047516632199634}",25,0,-102.82564601978979,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",35,0,-121.35479873785857,"{0: 25, 1: 4, 2: 3, 3: 1, 4: 2}",0
46,False,"{'a': 0.01, 'e': 0.8960524975255252}",30,0,-178.92125935966786,"{0: 17, 1: 4, 2: 4, 3: 3, 4: 2}",0
47,False,"{'a': 0.01, 'e': 0.891568288195329}",30,0,-47.42938944082093,"{0: 22, 1: 2, 2: 6, 3: 0, 4: 0}",0
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",25,0,-99.57284036368905,"{0: 12, 1: 5, 2: 7, 3: 1, 4: 0}",0
49,False,"{'a': 0.01, 'e': 0.8823328586101215}",20,0,-173.5713992785338,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",20,0,-85.60276701941477,"{0: 14, 1: 4, 2: 0, 3: 0, 4: 2}",0
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",20,0,-82.31037848570377,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",30,0,-119.00369902689252,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
53,False,"{'a': 0.01, 'e': 0.862807070514761}",25,3,-54.2582095318712,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 0}",1
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",25,0,-66.9113535183049,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",20,0,-69.11982618540527,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",25,0,-48.01068034371578,"{0: 20, 1: 0, 2: 3, 3: 2, 4: 0}",0
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",20,0,-26.856062948283697,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",1
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",25,0,-163.26206728990533,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 3}",0
59,False,"{'a': 0.01, 'e': 0.8309406791001636}",25,0,-177.0651619872907,"{0: 15, 1: 0, 2: 5, 3: 3, 4: 2}",0
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",25,0,-80.51255681383105,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",20,6,-18.725017340156967,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",20,7,-33.67711087748727,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",35,0,-115.62360778257559,"{0: 27, 1: 0, 2: 5, 3: 1, 4: 2}",0
64,False,"{'a': 0.01, 'e': 0.8020957578842927}",20,0,-128.8209408695438,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
65,False,"{'a': 0.01, 'e': 0.7960837985490559}",20,0,-133.08292313176267,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",20,0,-81.14951858087706,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",30,3,-73.491829521428,"{0: 21, 1: 1, 2: 3, 3: 1, 4: 1}",1
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",20,0,-24.86728328666985,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",20,0,-21.408134798092792,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",25,10,-53.05633117189187,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 1}",1
